Unique_ID,org_name,org_url,Twitter_URL,Twitter_handle,earliest_tweet_in_db,number_of_tweets_in_db
1,'Real Madrid C.F.',,https://twitter.com/realmadrid,realmadrid,,
2,'FC Barcelona',,https://twitter.com/FCBarcelona,FCBarcelona,,
3,'JuventusFC',,https://twitter.com/juventusfc,juventusfc,,
4,'AC Milan',,https://twitter.com/acmilan,acmilan,,
5,'Liverpool FC',,https://twitter.com/LFC,LFC,,
6,'Paris Saint-Germain',,https://twitter.com/PSG,PSG,,
7,'Chelsea FC',,https://twitter.com/ChelseaFC,ChelseaFC,,
8,'Manchester United',,https://twitter.com/ManUtd,ManUtd,,
9,'Manchester City',,https://twitter.com/ManCity,ManCity,,
10,'Atlético de Madrid',,https://twitter.com/Atleti,Atleti,,
11,'FC Bayern',,https://twitter.com/fcbayern,fcbayern,,
12,'Borussia Dortmund',,https://twitter.com/blackyellow,blackyellow,,
12,'Inter',,https://twitter.com/inter,inter,,
13,'AFC Ajax',,https://twitter.com/AFCAjax,AFCAjax,,
14,'FC Porto',,https://twitter.com/FCPorto,FCPorto,,
15,'Sevilla Fútbol Club',,https://twitter.com/SevillaFC,SevillaFC,,
16,'Atalanta B.C.',,https://twitter.com/Atalanta_BC,Atalanta_BC,,
17,'Borussia Mönchengladbach',,https://twitter.com/borussia,borussia,,
18,'S.S.Lazio',,https://twitter.com/OfficialSSLazio,OfficialSSLazio,,
19,'Die Roten Bullen',,https://twitter.com/DieRotenBullen,DieRotenBullen,,
